Plant ID,Plant,Group,Treatment,Temp,CO2,Day 0,Day 0,Day 0,Day 1,Day 1,Day 1,Day 2,Day 2 ,Day 2,Day 3,Day 3,Day 3,Day 4,Day 4,Day 4,Day 5,Day 5,Day 5,Day 6,Day 6,Day 6,Day 7,Day 7,Day 7,Day 8,Day 8,Day 8,Day 9,Day 9,Day 9,Final_adaxial_AVG,Final_Abaxial_AVG,LCI_4,LCI_4,LCI_4,LCI_5,LCI_5,LCI_5,LCI_6,LCI_6,LCI_6,LCI_7,LCI_7,LCI_7,LCI_9,LCI_9,LCI_9,LCI_15,LCI_15,LCI_15,Final_LCI_Avg,Fresh_Mass,DryMass,Leaf_Disc
Nast0303,T.majus,Nast03,Control,22,400,,,,,,,,,,,,,,,,63,56,60,23,59,25,,,,,,,60,58,57,58.33,58.33,,,,,,,,,,,,,,,,,,,,29.60,4.76,0.0101
Nast0401,T.majus,Nast04,Warming+eCO2,28,800,,,,,,,,,,,,,,,,56,56,62,54,72,50,,,,,,,99,68,71,79.33,79.33,,,,,,,,,,,,,,,,,,,,24.40,3.08,0.0083
Nast0402,T.majus,Nast04,Warming+eCO2,28,800,,,,,,,,,,,,,,,,55,68,66,67,51,83,,,,,,,65,85,71,73.67,73.67,,,,,,,,,,,,,,,,,,,,21.40,2.74,0.0084
Nast0403,T.majus,Nast04,Warming+eCO2,28,800,,,,,,,,,,,,,,,,61,44,51,83,79,62,,,,,,,102,77,86,88.33,88.33,,,,,,,,,,,,,,,,,,,,24.90,3.56,0.0078
BP0101,C.annuum,BP01,Control,28,400,,,,,,,,,,,,,47,34,31,,,,,,,59,49,29,,,,,,,45.67,44.33,,,,,,,,,,,,,,,,,,,,9.72,1.54,0.0053
BP0102,C.annuum,BP01,Control,28,400,,,,,,,,,,,,,53,38,32,,,,,,,49,39,38,,,,,,,42.00,48.00,,,,,,,,,,,,,,,,,,,,4.85,0.75,0.0062
BP0103,C.annuum,BP01,Control,28,400,,,,,,,,,,,,,55,39,32,,,,,,,36,42,39,,,,,,,39.00,51.00,,,,,,,,,,,,,,,,,,,,4.57,0.81,0.0068
BP0104,C.annuum,BP01,Control,28,400,,,,,,,,,,,,,55,34,31,,,,,,,68,46,42,,,,,,,52.00,38.00,,,,,,,,,,,,,,,,,,,,7.00,1.01,0.0049
BP0105,C.annuum,BP01,Control,28,400,,,,,,,,,,,,,43,33,32,,,,,,,51,51,43,,,,,,,48.33,41.67,,,,,,,,,,,,,,,,,,,,5.07,0.78,0.0064
BP0201,C.annuum,BP02,Warming+eCO2,36,800,,,,,,,,,,,,,,,,,,,,,,59,49,49,,,,,,,52.33,37.67,,,,,,,,,,,,,,,,,,,,2.18,0.55,0.0126
BP0202,C.annuum,BP02,Warming+eCO2,36,800,,,,,,,,,,,,,,,,,,,,,,69,69,32,,,,,,,56.67,33.33,,,,,,,,,,,,,,,,,,,,1.22,0.30,0.0104
BP0203,C.annuum,BP02,Warming+eCO2,36,800,,,,,,,,,,,,,,,,,,,,,,56,39,31,,,,,,,42.00,48.00,,,,,,,,,,,,,,,,,,,,1.63,0.35,0.0083
